Date,Forecast_Volatility,Forecast_Return,VaR95,VaR99
2025-05-10,0.03128698846583842,0.001176674868753752,-0.05029042115755045,-0.0715968603027864
2025-05-11,0.03137477845280297,0.001176674868753752,-0.050434835686107134,-0.07180105981246596
2025-05-12,0.031460163980429924,0.001176674868753752,-0.050575294879053476,-0.07199966654972625
2025-05-13,0.03154320401233645,0.001176674868753752,-0.05071189573153971,-0.07219281766394083
2025-05-14,0.03162395647787481,0.001176674868753752,-0.05084473353735031,-0.07238064789878305
2025-05-15,0.03170247826379499,0.001176674868753752,-0.050973901875189014,-0.0725632895728334
2025-05-16,0.03177882520813457,0.001176674868753752,-0.051099492598627616,-0.07274087256536725
2025-05-17,0.03185305209618093,0.001176674868753752,-0.05122159582946388,-0.0729135243069631
2025-05-18,0.03192521265835893,0.001176674868753752,-0.05134029995424669,-0.07308136977458912
2025-05-19,0.031995359569903965,0.001176674868753752,-0.051455691623738274,-0.07324453149084287
2025-05-20,0.03206354445218775,0.001176674868753752,-0.0515678557550951,-0.07340312952703495
2025-05-21,0.03212981787557082,0.001176674868753752,-0.05167687553656025,-0.07355728150982398
2025-05-22,0.03219422936366244,0.001176674868753752,-0.05178283243447096,-0.07370710263112508
2025-05-23,0.032256827398874865,0.001176674868753752,-0.051885806202395406,-0.07385270566102918
2025-05-24,0.03231765942916526,0.001176674868753752,-0.051985874892223095,-0.07399420096348464
2025-05-25,0.03237677187586416,0.001176674868753752,-0.052083114867042785,-0.07413169651450628
2025-05-26,0.032434210142495416,0.001176674868753752,-0.05217760081565121,-0.07426529792269058
2025-05-27,0.03249001862449761,0.001176674868753752,-0.052269405768544816,-0.07439510845182769
2025-05-28,0.032544240719762495,0.001176674868753752,-0.05235860111525555,-0.0745212290454138
2025-05-29,0.032596918839910886,0.001176674868753752,-0.05244525662289966,-0.07464375835287897
